8044,19:49,20:17
8044,20:17,20:48
8044,20:48,20:48
8044,20:48,20:58
8044,20:58,21:21
8044,21:21,21:46
8044,21:46,22:06
8044,22:11,22:17
8044,22:17,22:24
8044,22:36,23:39
8044,23:39,23:57
8044,23:57,23:59
8044,00:07,00:17
8044,00:17,00:31
8044,00:31,01:17
8044,01:17,01:34
8044,01:47,01:54
8044,01:59,02:12
8044,02:12,02:37
8044,02:37,02:41
8044,02:41,03:09
8044,03:09,03:47
8044,04:02,04:21
8045,20:28,20:29
8045,20:29,21:17
8045,21:17,21:19
8045,21:19,21:27
8045,21:27,23:13
8045,23:18,23:29
8045,23:29,00:06
8045,00:14,00:16
8045,00:27,00:43
8045,00:43,00:53
8045,00:53,01:01
8045,01:01,01:15
8045,01:23,01:25
8045,01:34,01:36
8045,01:36,01:40
8045,01:40,01:57
8045,02:01,02:15
8045,02:15,02:27
8045,02:27,04:01
8045,04:15,04:18
8045,04:18,04:31
8045,04:31,04:40
8045,04:46,05:42
8045,05:42,05:59
